diseases,match_count,coverage,disease_symptom_count,precision_like,score
vitamin d deficiency,1,0.2,3,0.3333333333333333,0.24
vulvar cancer,1,0.2,3,0.3333333333333333,0.24
wilson disease,1,0.2,3,0.3333333333333333,0.24
anemia due to malignancy,1,0.2,4,0.25,0.21499999999999997
blepharospasm,1,0.2,4,0.25,0.21499999999999997
central atherosclerosis,1,0.2,4,0.25,0.21499999999999997
conversion disorder,1,0.2,4,0.25,0.21499999999999997
cystic fibrosis,1,0.2,4,0.25,0.21499999999999997
cysticercosis,1,0.2,4,0.25,0.21499999999999997
dislocation of the wrist,1,0.2,4,0.25,0.21499999999999997
ependymoma,1,0.2,4,0.25,0.21499999999999997
factitious disorder,1,0.2,4,0.25,0.21499999999999997
hemolytic anemia,1,0.2,4,0.25,0.21499999999999997
infection of open wound,1,0.2,4,0.25,0.21499999999999997
injury to the spinal cord,1,0.2,4,0.25,0.21499999999999997
leukemia,1,0.2,4,0.25,0.21499999999999997
malaria,1,0.2,4,0.25,0.21499999999999997
myoclonus,1,0.2,4,0.25,0.21499999999999997
neurofibromatosis,1,0.2,4,0.25,0.21499999999999997
normal pressure hydrocephalus,1,0.2,4,0.25,0.21499999999999997
open wound of the nose,1,0.2,4,0.25,0.21499999999999997
optic neuritis,1,0.2,4,0.25,0.21499999999999997
ovarian cancer,1,0.2,4,0.25,0.21499999999999997
pinguecula,1,0.2,4,0.25,0.21499999999999997
pituitary adenoma,1,0.2,4,0.25,0.21499999999999997
pituitary disorder,1,0.2,4,0.25,0.21499999999999997
poisoning due to anticonvulsants,1,0.2,4,0.25,0.21499999999999997
poisoning due to antidepressants,1,0.2,4,0.25,0.21499999999999997
poisoning due to ethylene glycol,1,0.2,4,0.25,0.21499999999999997
syphilis,1,0.2,4,0.25,0.21499999999999997
syringomyelia,1,0.2,4,0.25,0.21499999999999997
thyroid cancer,1,0.2,4,0.25,0.21499999999999997
bone cancer,1,0.2,5,0.2,0.19999999999999998
chronic kidney disease,1,0.2,5,0.2,0.19999999999999998
esophageal cancer,1,0.2,5,0.2,0.19999999999999998
fracture of the skull,1,0.2,5,0.2,0.19999999999999998
goiter,1,0.2,5,0.2,0.19999999999999998
hormone disorder,1,0.2,5,0.2,0.19999999999999998
liver cancer,1,0.2,5,0.2,0.19999999999999998
meningioma,1,0.2,5,0.2,0.19999999999999998
multiple myeloma,1,0.2,5,0.2,0.19999999999999998
muscular dystrophy,1,0.2,5,0.2,0.19999999999999998
protein deficiency,1,0.2,5,0.2,0.19999999999999998
pseudotumor cerebri,1,0.2,5,0.2,0.19999999999999998
scleritis,1,0.2,5,0.2,0.19999999999999998
somatization disorder,1,0.2,5,0.2,0.19999999999999998
testicular disorder,1,0.2,5,0.2,0.19999999999999998
tourette syndrome,1,0.2,5,0.2,0.19999999999999998
toxic multinodular goiter,1,0.2,5,0.2,0.19999999999999998
vitamin b12 deficiency,1,0.2,5,0.2,0.19999999999999998
anemia due to chronic kidney disease,1,0.2,6,0.16666666666666666,0.18999999999999997
aplastic anemia,1,0.2,6,0.16666666666666666,0.18999999999999997
atelectasis,1,0.2,6,0.16666666666666666,0.18999999999999997
burn,1,0.2,6,0.16666666666666666,0.18999999999999997
carbon monoxide poisoning,1,0.2,6,0.16666666666666666,0.18999999999999997
cerebral edema,1,0.2,6,0.16666666666666666,0.18999999999999997
down syndrome,1,0.2,6,0.16666666666666666,0.18999999999999997
drug abuse (barbiturates),1,0.2,6,0.16666666666666666,0.18999999999999997
extrapyramidal effect of drugs,1,0.2,6,0.16666666666666666,0.18999999999999997
hypertension of pregnancy,1,0.2,6,0.16666666666666666,0.18999999999999997
hypothyroidism,1,0.2,6,0.16666666666666666,0.18999999999999997
myositis,1,0.2,6,0.16666666666666666,0.18999999999999997
poisoning due to analgesics,1,0.2,6,0.16666666666666666,0.18999999999999997
polymyalgia rheumatica,1,0.2,6,0.16666666666666666,0.18999999999999997
premenstrual tension syndrome,1,0.2,6,0.16666666666666666,0.18999999999999997
spina bifida,1,0.2,6,0.16666666666666666,0.18999999999999997
subarachnoid hemorrhage,1,0.2,6,0.16666666666666666,0.18999999999999997
subdural hemorrhage,1,0.2,6,0.16666666666666666,0.18999999999999997
thoracic outlet syndrome,1,0.2,6,0.16666666666666666,0.18999999999999997
tic (movement) disorder,1,0.2,6,0.16666666666666666,0.18999999999999997
dislocation of the elbow,1,0.2,7,0.14285714285714285,0.18285714285714283
drug poisoning due to medication,1,0.2,7,0.14285714285714285,0.18285714285714283
drug withdrawal,1,0.2,7,0.14285714285714285,0.18285714285714283
epilepsy,1,0.2,7,0.14285714285714285,0.18285714285714283
headache after lumbar puncture,1,0.2,7,0.14285714285714285,0.18285714285714283
hydrocephalus,1,0.2,7,0.14285714285714285,0.18285714285714283
lymphoma,1,0.2,7,0.14285714285714285,0.18285714285714283
myasthenia gravis,1,0.2,7,0.14285714285714285,0.18285714285714283
peritonsillar abscess,1,0.2,7,0.14285714285714285,0.18285714285714283
poisoning due to gas,1,0.2,7,0.14285714285714285,0.18285714285714283
premature atrial contractions (pacs),1,0.2,7,0.14285714285714285,0.18285714285714283
substance-related mental disorder,1,0.2,7,0.14285714285714285,0.18285714285714283
thoracic aortic aneurysm,1,0.2,7,0.14285714285714285,0.18285714285714283
thrombocytopenia,1,0.2,7,0.14285714285714285,0.18285714285714283
thyroid nodule,1,0.2,7,0.14285714285714285,0.18285714285714283
trigeminal neuralgia,1,0.2,7,0.14285714285714285,0.18285714285714283
abscess of the pharynx,1,0.2,8,0.125,0.1775
alcohol intoxication,1,0.2,8,0.125,0.1775
alzheimer disease,1,0.2,8,0.125,0.1775
anemia,1,0.2,8,0.125,0.1775
aphthous ulcer,1,0.2,8,0.125,0.1775
arrhythmia,1,0.2,8,0.125,0.1775
asperger syndrome,1,0.2,8,0.125,0.1775
atrial fibrillation,1,0.2,8,0.125,0.1775
cardiomyopathy,1,0.2,8,0.125,0.1775
coronary atherosclerosis,1,0.2,8,0.125,0.1775
cranial nerve palsy,1,0.2,8,0.125,0.1775
dementia,1,0.2,8,0.125,0.1775
head injury,1,0.2,8,0.125,0.1775
heat exhaustion,1,0.2,8,0.125,0.1775
hepatitis due to a toxin,1,0.2,8,0.125,0.1775
intracranial hemorrhage,1,0.2,8,0.125,0.1775
jaw disorder,1,0.2,8,0.125,0.1775
meniere disease,1,0.2,8,0.125,0.1775
meningitis,1,0.2,8,0.125,0.1775
mononucleosis,1,0.2,8,0.125,0.1775
mucositis,1,0.2,8,0.125,0.1775
nasal polyp,1,0.2,8,0.125,0.1775
orthostatic hypotension,1,0.2,8,0.125,0.1775
sarcoidosis,1,0.2,8,0.125,0.1775
subconjunctival hemorrhage,1,0.2,8,0.125,0.1775
temporomandibular joint disorder,1,0.2,8,0.125,0.1775
tension headache,1,0.2,8,0.125,0.1775
tinnitus of unknown cause,1,0.2,8,0.125,0.1775
torticollis,1,0.2,8,0.125,0.1775
vasculitis,1,0.2,8,0.125,0.1775
alcohol abuse,1,0.2,9,0.1111111111111111,0.1733333333333333
attention deficit hyperactivity disorder (adhd),1,0.2,9,0.1111111111111111,0.1733333333333333
benign paroxysmal positional vertical (bppv),1,0.2,9,0.1111111111111111,0.1733333333333333
choledocholithiasis,1,0.2,9,0.1111111111111111,0.1733333333333333
drug abuse (cocaine),1,0.2,9,0.1111111111111111,0.1733333333333333
fracture of the facial bones,1,0.2,9,0.1111111111111111,0.1733333333333333
hemiplegia,1,0.2,9,0.1111111111111111,0.1733333333333333
hypovolemia,1,0.2,9,0.1111111111111111,0.1733333333333333
ileus,1,0.2,9,0.1111111111111111,0.1733333333333333
indigestion,1,0.2,9,0.1111111111111111,0.1733333333333333
injury to the face,1,0.2,9,0.1111111111111111,0.1733333333333333
interstitial lung disease,1,0.2,9,0.1111111111111111,0.1733333333333333
iridocyclitis,1,0.2,9,0.1111111111111111,0.1733333333333333
irritable bowel syndrome,1,0.2,9,0.1111111111111111,0.1733333333333333
migraine,1,0.2,9,0.1111111111111111,0.1733333333333333
mitral valve disease,1,0.2,9,0.1111111111111111,0.1733333333333333
obsessive compulsive disorder (ocd),1,0.2,9,0.1111111111111111,0.1733333333333333
postpartum depression,1,0.2,9,0.1111111111111111,0.1733333333333333
preeclampsia,1,0.2,9,0.1111111111111111,0.1733333333333333
pulmonary hypertension,1,0.2,9,0.1111111111111111,0.1733333333333333
shingles (herpes zoster),1,0.2,9,0.1111111111111111,0.1733333333333333
teething syndrome,1,0.2,9,0.1111111111111111,0.1733333333333333
white blood cell disease,1,0.2,9,0.1111111111111111,0.1733333333333333
bell palsy,1,0.2,10,0.1,0.16999999999999998
chronic pain disorder,1,0.2,10,0.1,0.16999999999999998
chronic sinusitis,1,0.2,10,0.1,0.16999999999999998
conduct disorder,1,0.2,10,0.1,0.16999999999999998
delirium,1,0.2,10,0.1,0.16999999999999998
deviated nasal septum,1,0.2,10,0.1,0.16999999999999998
diabetic ketoacidosis,1,0.2,10,0.1,0.16999999999999998
drug abuse,1,0.2,10,0.1,0.16999999999999998
fibromyalgia,1,0.2,10,0.1,0.16999999999999998
flu,1,0.2,10,0.1,0.16999999999999998
gastritis,1,0.2,10,0.1,0.16999999999999998
hypokalemia,1,0.2,10,0.1,0.16999999999999998
intracerebral hemorrhage,1,0.2,10,0.1,0.16999999999999998
labyrinthitis,1,0.2,10,0.1,0.16999999999999998
muscle spasm,1,0.2,10,0.1,0.16999999999999998
neuralgia,1,0.2,10,0.1,0.16999999999999998
paroxysmal ventricular tachycardia,1,0.2,10,0.1,0.16999999999999998
stroke,1,0.2,10,0.1,0.16999999999999998
tooth disorder,1,0.2,10,0.1,0.16999999999999998
transient ischemic attack,1,0.2,10,0.1,0.16999999999999998
viral exanthem,1,0.2,10,0.1,0.16999999999999998
appendicitis,1,0.2,11,0.09090909090909091,0.16727272727272727
brachial neuritis,1,0.2,11,0.09090909090909091,0.16727272727272727
common cold,1,0.2,11,0.09090909090909091,0.16727272727272727
drug reaction,1,0.2,11,0.09090909090909091,0.16727272727272727
hyperemesis gravidarum,1,0.2,11,0.09090909090909091,0.16727272727272727
injury to the trunk,1,0.2,11,0.09090909090909091,0.16727272727272727
iron deficiency anemia,1,0.2,11,0.09090909090909091,0.16727272727272727
ischemic heart disease,1,0.2,11,0.09090909090909091,0.16727272727272727
pain after an operation,1,0.2,11,0.09090909090909091,0.16727272727272727
problem during pregnancy,1,0.2,11,0.09090909090909091,0.16727272727272727
seasonal allergies (hay fever),1,0.2,11,0.09090909090909091,0.16727272727272727
sepsis,1,0.2,11,0.09090909090909091,0.16727272727272727
smoking or tobacco addiction,1,0.2,11,0.09090909090909091,0.16727272727272727
acute bronchiolitis,1,0.2,12,0.08333333333333333,0.16499999999999998
acute bronchitis,1,0.2,12,0.08333333333333333,0.16499999999999998
concussion,1,0.2,12,0.08333333333333333,0.16499999999999998
hypoglycemia,1,0.2,12,0.08333333333333333,0.16499999999999998
marijuana abuse,1,0.2,12,0.08333333333333333,0.16499999999999998
nose disorder,1,0.2,12,0.08333333333333333,0.16499999999999998
spinal stenosis,1,0.2,12,0.08333333333333333,0.16499999999999998
sprain or strain,1,0.2,12,0.08333333333333333,0.16499999999999998
